Date,Adj Close
2023-01-03,331.21826171875
2023-01-04,332.6341247558594
2023-01-05,328.8648986816406
2023-01-06,332.9976501464844
2023-01-09,337.7044677734375
2023-01-10,341.87554931640625
2023-01-11,348.6870422363281
2023-01-12,353.91046142578125
2023-01-13,357.7945556640625
2023-01-17,334.7579650878906
2023-01-18,333.96392822265625
2023-01-19,335.552001953125
2023-01-20,327.0280456542969
2023-01-23,334.01177978515625
2023-01-24,333.2368469238281
2023-01-25,334.4804992675781
2023-01-26,339.589111328125
2023-01-27,338.3741760253906
2023-01-30,341.9712219238281
2023-01-31,349.95941162109375
2023-02-01,349.8637390136719
2023-02-02,353.4608154296875
2023-02-03,353.9200744628906
2023-02-06,354.7331848144531
2023-02-07,358.1772155761719
2023-02-08,358.8468933105469
2023-02-09,352.0449523925781
2023-02-10,355.19244384765625
2023-02-13,357.81365966796875
2023-02-14,355.67071533203125
2023-02-15,358.1198425292969
2023-02-16,354.15924072265625
2023-02-17,352.5328674316406
2023-02-21,345.47265625
2023-02-22,345.25262451171875
2023-02-23,347.7878112792969
2023-02-24,348.0843505859375
2023-02-27,349.69158935546875
2023-02-28,336.4129943847656
2023-03-01,333.5995178222656
2023-03-02,336.3648376464844
2023-03-03,344.0633239746094
2023-03-06,344.0247497558594
2023-03-07,333.4549560546875
2023-03-08,336.5478515625
2023-03-09,329.6105651855469
2023-03-10,315.7165832519531
2023-03-13,304.0002136230469
2023-03-14,310.39794921875
2023-03-15,300.8013000488281
2023-03-16,303.5954895019531
2023-03-17,292.46685791015625
2023-03-20,298.23828125
2023-03-21,305.70562744140625
2023-03-22,302.2273254394531
2023-03-23,303.3642578125
2023-03-24,301.16741943359375
2023-03-27,306.9100036621094
2023-03-28,306.8232727050781
2023-03-29,309.0201110839844
2023-03-30,309.4248046875
2023-03-31,315.177001953125
2023-04-03,314.6085205078125
2023-04-04,310.8796691894531
2023-04-05,309.8005676269531
2023-04-06,310.63885498046875
2023-04-10,313.1054382324219
2023-04-11,315.4275207519531
2023-04-12,318.1927795410156
2023-04-13,320.0138854980469
2023-04-14,324.629150390625
2023-04-17,327.2884826660156
2023-04-18,321.72894287109375
2023-04-19,324.6002197265625
2023-04-20,326.3537902832031
2023-04-21,329.1961975097656
2023-04-24,331.41229248046875
2023-04-25,327.0957946777344
2023-04-26,324.28228759765625
2023-04-27,329.1383972167969
2023-04-28,330.9112548828125
2023-05-01,328.14599609375
2023-05-02,321.2086486816406
2023-05-03,316.6607971191406
2023-05-04,309.5404052734375
2023-05-05,315.09027099609375
2023-05-08,314.5988464355469
2023-05-09,312.9223327636719
2023-05-10,310.7833557128906
2023-05-11,309.0201110839844
2023-05-12,307.8446350097656
2023-05-15,310.32086181640625
2023-05-16,309.1068115234375
2023-05-17,318.135009765625
2023-05-18,317.556884765625
2023-05-19,314.25201416015625
2023-05-22,313.06689453125
2023-05-23,311.7661437988281
2023-05-24,308.1432800292969
2023-05-25,312.0648498535156
2023-05-26,319.8982238769531
2023-05-30,318.76129150390625
2023-05-31,314.46038818359375
2023-06-01,307.1789855957031
2023-06-02,314.2176818847656
2023-06-05,312.4313049316406
2023-06-06,317.27587890625
2023-06-07,325.96502685546875
2023-06-08,325.6932067871094
2023-06-09,326.2271423339844
2023-06-12,329.5960388183594
2023-06-13,332.5183410644531
2023-06-14,328.5572509765625
2023-06-15,329.83880615234375
